Image,Label
19567,9
29993,6 4
17186,1 4
29600,6 2
701,3 4
26562,9
1080,4
27886,4
30721,6
15838,1 4
5213,4
15952,6 4
30744,1 4
29990,4
8672,3 4
14912,4
12002,6 7
615,0
25586,2
22335,6 4
12958,2
10701,3 4
8261,2 4
20932,6 4
23905,6 4
2418,9
6179,6 1 4
3950,3 4
12015,4
11289,6 4 7
30118,6 4
11193,4
30285,0
14190,6 0 4
21621,8 4
28733,6
31060,4
16920,9 7
5700,6 9
29262,1
16139,6 4
26015,0
10451,1
13873,2
2691,4
27513,6 9
5416,6 4
28271,8 4
18798,3
5425,1
8264,6 4
19026,2
5013,2
30402,6 4
5228,6
3937,3
12805,4
2322,8 4
6444,6 5
18679,4
10529,0
14750,4
9163,4 7
11430,2
4755,9 7
10825,4
28395,3 2 4
25494,9
10921,7
7657,6 4
21071,7
21441,9 7
28332,0 4
3386,3 2
3228,2 4
19205,1
22858,7
22931,8
5500,3 4
23873,6 4
6848,1 4
30979,6
29437,0 4
23198,4 7
8356,6 4
25779,4
22790,6 9
13110,9
9659,3
25699,1 2
22204,4 7
8155,4
29243,6 0 2
29928,2
1855,6 2 4
28696,8 6
24196,5
4189,6 4
22620,6 4
5503,1
8588,2
17538,9
20628,6 9
17360,4
14466,7
1478,0
14933,8 4
10786,4
27051,1
21904,4
24027,2 4
11865,4
10119,8 3
26531,6 0 4
17479,4 7
28849,2 4
9475,7
17874,6 4
19161,4
30425,6
27654,6
20160,6 4 7
20305,8 4
21199,5 4
28619,8
28470,8 6 4
18600,6 3
1367,0 1 4
29140,6 4
11133,9
537,6 2 4
21285,4
25824,4
26917,8
13486,6
20052,3
3490,4
10059,5
3012,6 4
13634,4 7
30330,6 4
13892,5
25462,3 7
18374,4 7
29436,5
403,4
13967,6 3
206,4
5939,4
28742,9
8472,3
27046,4
3948,4
1917,2
14955,4
25230,3 4
13831,0 4
29902,8 1
17229,2 4
22449,6
5543,0
19686,0
12605,7
28973,1
30172,8 6
2084,4
24232,9
14435,2 4 7
10040,1
30055,0
8980,4
17753,6 4
2870,7
3462,6 2 4
30249,4
10666,3 9
24621,7
25205,0 4
10979,0
7489,6 4
16334,2 4
13082,9 2
5156,6 9
25429,8
15574,6 4
28237,2
19155,6
26691,4
21895,4
2085,9
12168,6 7
11716,4
14520,2
19229,9
27385,6
25246,3
10466,4
26372,2 7
2774,8 6
27930,6 1
5241,0 2 4
15590,4
6156,4
8252,4
11166,6 4 7
9213,4
14350,4
23080,0 4
21941,0
13395,6 4
13787,4
20994,6 7
16723,6 4
22984,4
8329,8
17663,6
7561,3
2038,6 2 4
5051,0 4
27395,1
29101,8
20773,1
10967,2 4
30936,6 4
10543,8 4
6158,0
6725,1
9972,1
8804,6
22308,6
13043,6
28693,1
19188,6 4 7
21791,0
23636,6 9
22234,3 4
25249,3
5790,0
30451,3 4
18236,4
10764,6 2 4
30364,4
18450,4
23292,6 4
25013,6 0
803,1
20228,4
13770,8 4
4766,7
14201,4
20208,2
12065,7
9759,6
14051,3
2135,7
14620,3
26494,4
22772,6
9091,6 4
21260,7
24451,6
6610,6
16127,3
26686,4
1339,7
8692,4
4103,6
27604,6 2
25879,6 4
11073,9
26142,6 4
22773,8
8346,1 4
2628,3
3224,8 4
16272,9
22876,2 4
30575,3
24848,4
25430,4 7
2821,6 4
4240,6 1 2
13893,6 3
3645,5
279,4
19127,2
26905,7
26782,0
3783,0 9
22294,7
17589,6 4
29349,1
19554,9
27581,3
17486,0 2
17177,3
13521,2 4
16103,6 4
19595,9 7
20637,6 1
7118,4
21010,9
6893,4
22579,4
1060,5
12744,6 0
30927,6 7
21052,5 4
11227,6 2 4 7
29278,6 4
21126,6
6771,1
20848,6
5825,5
7078,6 1
2413,7
22913,6 4
15714,6 7
27817,6
16928,5
5586,0
12098,0 1
9224,6 3
649,0
22432,6 9
23051,2
3146,4
15393,6 9
461,6 2
20027,7
2498,5
4328,6 2 4
10433,4
29653,4
23909,6 1
8116,6 4
23324,6 7
5446,7
531,3
9944,4
253,2
15131,4 7
24605,4 7
2029,0
10187,6
15752,2 4
15878,1 7
27892,5 4
9648,1 2 4
24855,3
13072,3
4319,6
29762,7
7249,6 7
24031,4
10248,6
6321,3
16895,4
28321,1
10769,6 2
24965,6
19580,4
16472,9
7465,6 1
15587,4
30204,0
9789,6
20863,1 7
13317,4 7
5516,3 4
9762,6 2
24309,6 2 4
27995,4 7
13977,6
6879,6 4
9619,4
21265,0
14947,2 4
6418,4
24787,6 3
3646,5
20940,6
23382,6 4
3668,1
12530,1
11161,6 4
19544,8 5 4
7488,3
17602,0
24776,4
11941,4 7
9488,0 4
11915,6
6506,4
30351,0 4
7865,5
12262,1 4
9254,4 7
15466,4
408,6 7
16324,0
18833,4
16925,5
3959,2
0,9 4 7
18858,6
21973,6
13934,6
23635,6
27100,6 4
25421,2
5746,7
6423,6 1
9888,4
6292,1
20842,0
6554,4 7
15146,6 4
26229,5 4
6175,8
4227,4
30245,6
14791,4
20112,1 4
14611,1
17404,3 4
14453,6 4
20768,6 4
23924,3
7972,7
25112,2 4
30322,6 4
7161,4
6655,0
27967,7
18585,9
23150,8 1 4
